epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1931.96,1.08419,0.58418,1.21568,0.93768,0.89655,0.96657,0.6343,1.20837,0.6279,1.27316,0.00157784,0.00157784,0.00157784
57,1966.3,1.11182,0.59663,1.23381,0.93968,0.90617,0.96353,0.62104,1.24083,0.63675,1.28728,0.0015636,0.0015636,0.0015636
58,2000.66,1.09958,0.58827,1.21315,0.92841,0.92564,0.96624,0.62508,1.23861,0.64015,1.30101,0.00154919,0.00154919,0.00154919
59,2035.03,1.09798,0.59315,1.23403,0.93623,0.91833,0.96785,0.62774,1.22945,0.59976,1.27995,0.00153462,0.00153462,0.00153462
60,2069.41,1.08178,0.58269,1.21492,0.93147,0.90468,0.97087,0.64056,1.22099,0.59251,1.25832,0.00151989,0.00151989,0.00151989
61,2103.78,1.08782,0.57799,1.20878,0.93673,0.92601,0.97269,0.64046,1.19499,0.59704,1.26932,0.001505,0.001505,0.001505
62,2138.14,1.07057,0.5663,1.20582,0.94978,0.92519,0.9722,0.63472,1.22409,0.60106,1.29307,0.00148996,0.00148996,0.00148996
63,2172.47,1.07791,0.56216,1.20888,0.92433,0.92086,0.96672,0.63478,1.22524,0.59911,1.27781,0.00147478,0.00147478,0.00147478
64,2206.82,1.0667,0.57041,1.20569,0.94154,0.91179,0.96086,0.62198,1.24436,0.65032,1.28903,0.00145945,0.00145945,0.00145945
65,2241.17,1.06296,0.56341,1.20375,0.9373,0.92302,0.97215,0.6432,1.22355,0.57971,1.26548,0.00144399,0.00144399,0.00144399
66,2275.58,1.08006,0.57742,1.22592,0.9509,0.91339,0.96751,0.62639,1.22845,0.59075,1.27828,0.00142839,0.00142839,0.00142839
67,2309.93,1.0677,0.56161,1.20087,0.93244,0.9186,0.9638,0.62958,1.2554,0.58698,1.28024,0.00141267,0.00141267,0.00141267
68,2344.33,1.0668,0.55297,1.21185,0.94417,0.9222,0.97135,0.63335,1.23294,0.60274,1.28092,0.00139682,0.00139682,0.00139682
69,2378.68,1.05484,0.54426,1.18852,0.94918,0.91361,0.97134,0.63101,1.22596,0.60372,1.27144,0.00138086,0.00138086,0.00138086
70,2413.07,1.06439,0.56672,1.20144,0.93566,0.92126,0.97199,0.6365,1.22301,0.57078,1.26595,0.00136478,0.00136478,0.00136478
71,2447.44,1.05347,0.55284,1.19213,0.949,0.9166,0.97025,0.63565,1.20962,0.57414,1.26372,0.0013486,0.0013486,0.0013486
72,2481.79,1.03198,0.546,1.18369,0.93125,0.93412,0.97204,0.63924,1.2018,0.56782,1.27281,0.00133231,0.00133231,0.00133231
73,2516.16,1.06206,0.54151,1.19095,0.94189,0.92622,0.96746,0.63298,1.24281,0.58456,1.28398,0.00131593,0.00131593,0.00131593
74,2550.54,1.03839,0.54743,1.18411,0.9405,0.91267,0.96937,0.64306,1.2019,0.5899,1.28174,0.00129945,0.00129945,0.00129945
75,2584.98,1.04189,0.5478,1.20086,0.94564,0.90682,0.96877,0.63764,1.2273,0.57844,1.29088,0.00128288,0.00128288,0.00128288
76,2619.36,1.03673,0.53203,1.19326,0.93518,0.91405,0.96391,0.63547,1.22396,0.59319,1.28921,0.00126623,0.00126623,0.00126623
77,2653.69,1.02623,0.53028,1.16773,0.92451,0.93298,0.97485,0.64492,1.21138,0.58012,1.29156,0.0012495,0.0012495,0.0012495
