epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1991.46,1.06952,0.58164,1.19266,0.93426,0.90568,0.96347,0.6207,1.2357,0.62747,1.32686,0.0011288,0.0011288,0.0011288
68,2021.13,1.06103,0.564,1.18086,0.93695,0.88646,0.96264,0.62395,1.24575,0.61177,1.31041,0.0011156,0.0011156,0.0011156
69,2050.78,1.08848,0.58258,1.20593,0.91818,0.93537,0.96864,0.61627,1.26918,0.60088,1.32172,0.0011024,0.0011024,0.0011024
70,2080.43,1.06562,0.5722,1.1917,0.92136,0.91703,0.96221,0.61442,1.26081,0.62773,1.32193,0.0010892,0.0010892,0.0010892
71,2110.11,1.09075,0.57457,1.21034,0.92496,0.91501,0.96661,0.62279,1.24584,0.63051,1.29734,0.001076,0.001076,0.001076
72,2139.77,1.05342,0.55677,1.17054,0.92343,0.92052,0.96796,0.63282,1.21679,0.62161,1.29757,0.0010628,0.0010628,0.0010628
73,2169.49,1.04144,0.54573,1.17513,0.94006,0.91878,0.96944,0.63291,1.23624,0.60481,1.27389,0.0010496,0.0010496,0.0010496
74,2199.23,1.05882,0.55764,1.17384,0.93732,0.91703,0.96344,0.62196,1.23455,0.62698,1.3037,0.0010364,0.0010364,0.0010364
75,2228.87,1.03148,0.54327,1.1571,0.9234,0.92751,0.96703,0.62654,1.2167,0.60109,1.29957,0.0010232,0.0010232,0.0010232
76,2258.5,1.04657,0.54797,1.1813,0.9159,0.92402,0.96216,0.62536,1.23543,0.59266,1.30205,0.00101,0.00101,0.00101
77,2288.17,1.02488,0.54592,1.16816,0.91901,0.93157,0.96054,0.62939,1.21987,0.58217,1.30767,0.0009968,0.0009968,0.0009968
78,2317.8,1.0176,0.53574,1.16561,0.90118,0.92489,0.96024,0.61775,1.26373,0.61976,1.33047,0.0009836,0.0009836,0.0009836
79,2347.45,1.02905,0.53984,1.1718,0.94245,0.91539,0.96555,0.62203,1.26004,0.62507,1.32818,0.0009704,0.0009704,0.0009704
80,2377.09,1.03482,0.54184,1.17595,0.9287,0.92142,0.96416,0.62682,1.26282,0.59336,1.3106,0.0009572,0.0009572,0.0009572
81,2406.73,1.03767,0.54293,1.18024,0.92612,0.91703,0.96564,0.62703,1.25776,0.59006,1.30561,0.000944,0.000944,0.000944
